id,title,overview,poster_path
130392,The D'Amelio Show,"From relative obscurity and a seemingly normal life, to overnight success and thrust into the Hollywood limelight overnight, the D’Amelios are faced with new challenges and opportunities they could not have imagined.",/z0iCS5Znx7TeRwlYSd4c01Z0lFx.jpg
100,I Am Not an Animal,"I Am Not An Animal is an animated comedy series about the only six talking animals in the world, whose cosseted existence in a vivisection unit is turned upside down when they are liberated by animal rights activists.",/qG59J1Q7rpBc1dvku4azbzcqo8h.jpg
94605,Arcane,"Amid the stark discord of twin cities Piltover and Zaun, two sisters fight on rival sides of a war between magic technologies and clashing convictions.",/fqldf2t8ztc9aiwn3k6mlX3tvRT.jpg
88040,Given,"Tightly clutching his Gibson guitar, Mafuyu Satou steps out of his dark apartment to begin another day of his high school life. While taking a nap in a quiet spot on the gymnasium staircase, he has a chance encounter with fellow student Ritsuka Uenoyama, who berates him for letting his guitar's strings rust and break. Noticing Uenoyama's knowledge of the instrument, Satou pleads for him to fix it and to teach him how to play. Uenoyama eventually agrees and invites him to sit in on a jam session with his two band mates: bassist Haruki Nakayama and drummer Akihiko Kaji.",/pdDCcAq8RNSZNk81PXYoHNUPHjn.jpg
77696,Run BTS!,"Run BTS! is a South Korean show by the boy band BTS. The show is all about BTS doing activities, challenges and lots more.",/xxv8Ibs8Anni6qrWkAf60rDsPCu.jpg
83095,The Rising of the Shield Hero,"Iwatani Naofumi was summoned into a parallel world along with 3 other people to become the world's Heroes. Each of the heroes respectively equipped with their own legendary equipment when summoned, Naofumi received the Legendary Shield as his weapon. Due to Naofumi's lack of charisma and experience he's labeled as the weakest, only to end up betrayed, falsely accused, and robbed by on the third day of adventure. Shunned by everyone from the king to peasants, Naofumi's thoughts were filled with nothing but vengeance and hatred. Thus, his destiny in a parallel World begins...",/hm7AAWOMNxGzpGolgzNATgnyQbb.jpg
125910,Young Royals,"Prince Wilhelm adjusts to life at his prestigious new boarding school, Hillerska, but following his heart proves more challenging than anticipated.",/6CHznbr0BF78ar16zJwTVRYLLOX.jpg
106600,BTS In the SOOP,"'In the SOOP BTS ver.' is a reality show, portraying BTS members' everyday life, relaxation, and everything in between, away from the city life. A time of freedom and healing in a place for BTS, and BTS only.",/eBsIEKqLMtktw2jpFPa9WTuGyPN.jpg
83097,The Promised Neverland,"Surrounded by a forest and a gated entrance, the Grace Field House is inhabited by orphans happily living together as one big family, looked after by their ""Mama,"" Isabella. Although they are required to take tests daily, the children are free to spend their time as they see fit, usually playing outside, as long as they do not venture too far from the orphanage — a rule they are expected to follow no matter what. However, all good times must come to an end, as every few months, a child is adopted and sent to live with their new family... never to be heard from again.

However, the three oldest siblings have their suspicions about what is actually happening at the orphanage, and they are about to discover the cruel fate that awaits the children living at Grace Field, including the twisted nature of their beloved Mama.",/oBgRCpAbtMpk1v8wfdsIph7lPQE.jpg
110309,SK8 the Infinity,"""S"" is a dangerous, top secret, no-holds-barred downhill skateboarding race down an abandoned mine. When avid skateboarder Reki takes Langa to the mountain where ""S"" is held, Langa, who's never been on a skateboard in his life, finds himself sucked into the world of ""S"", and…?!",/ksb6QlSCsRLr3MNmxc8ojOOLK6V.jpg
65648,Maid Sama!,Misaki Ayuzawa is the first female student council president at a once all-boys school turned co-ed. She rules the school with strict discipline demeanor. But she has a secret—she works at a maid cafe due to her families circumstances. One day the popular A-student and notorious heart breaker Takumi Usui finds out her secret and makes a deal with her to keep it hush from the school in exchange for spending some time with him.,/igkn0M1bgMeATz59LShvVxZNdVd.jpg
